"place","sex","age","health","occupational_group","count"
"MIDLOTHIAN","Male","16 to 24","Fairly Good Health","Higher professional occupations",3
"MIDLOTHIAN","Male","16 to 24","Not Good Health","Higher professional occupations",1
"MIDLOTHIAN","Male","25 to 34","Good Health","Higher professional occupations",344
"MIDLOTHIAN","Male","25 to 34","Fairly Good Health","Higher professional occupations",28
"MIDLOTHIAN","Male","25 to 34","Not Good Health","Higher professional occupations",5
"MIDLOTHIAN","Male","35 to 49","Good Health","Higher professional occupations",525
"MIDLOTHIAN","Male","35 to 49","Fairly Good Health","Higher professional occupations",72
"MIDLOTHIAN","Male","35 to 49","Not Good Health","Higher professional occupations",10
"MIDLOTHIAN","Male","50 to 54","Good Health","Higher professional occupations",161
"MIDLOTHIAN","Male","50 to 54","Fairly Good Health","Higher professional occupations",35
"MIDLOTHIAN","Male","50 to 54","Not Good Health","Higher professional occupations",7
"MIDLOTHIAN","Male","55 to 59","Good Health","Higher professional occupations",105
"MIDLOTHIAN","Male","55 to 59","Fairly Good Health","Higher professional occupations",28
"MIDLOTHIAN","Male","55 to 59","Not Good Health","Higher professional occupations",9
"MIDLOTHIAN","Male","60 to 64","Good Health","Higher professional occupations",81
"MIDLOTHIAN","Male","60 to 64","Fairly Good Health","Higher professional occupations",24
"MIDLOTHIAN","Male","60 to 64","Not Good Health","Higher professional occupations",4
"MIDLOTHIAN","Male","65 to 74","Good Health","Higher professional occupations",16
"MIDLOTHIAN","Male","65 to 74","Fairly Good Health","Higher professional occupations",5
"MIDLOTHIAN","Male","65 to 74","Not Good Health","Higher professional occupations",3
"MIDLOTHIAN","Female","16 to 24","Good Health","Higher professional occupations",45
"MIDLOTHIAN","Female","16 to 24","Fairly Good Health","Higher professional occupations",3
"MIDLOTHIAN","Female","16 to 24","Not Good Health","Higher professional occupations",0
"MIDLOTHIAN","Female","25 to 34","Good Health","Higher professional occupations",194
"MIDLOTHIAN","Female","25 to 34","Fairly Good Health","Higher professional occupations",31
"MIDLOTHIAN","Female","25 to 34","Not Good Health","Higher professional occupations",7
"MIDLOTHIAN","Female","35 to 49","Good Health","Higher professional occupations",244
"MIDLOTHIAN","Female","35 to 49","Fairly Good Health","Higher professional occupations",49
"MIDLOTHIAN","Female","35 to 49","Not Good Health","Higher professional occupations",9
"MIDLOTHIAN","Female","50 to 54","Good Health","Higher professional occupations",41
"MIDLOTHIAN","Female","50 to 54","Fairly Good Health","Higher professional occupations",7
"MIDLOTHIAN","Female","50 to 54","Not Good Health","Higher professional occupations",4
"MIDLOTHIAN","Female","55 to 59","Good Health","Higher professional occupations",33
"MIDLOTHIAN","Female","55 to 59","Fairly Good Health","Higher professional occupations",3
"MIDLOTHIAN","Female","55 to 59","Not Good Health","Higher professional occupations",0
"MIDLOTHIAN","Female","60 to 64","Good Health","Higher professional occupations",14
"MIDLOTHIAN","Female","60 to 64","Fairly Good Health","Higher professional occupations",2
"MIDLOTHIAN","Female","60 to 64","Not Good Health","Higher professional occupations",1
"MIDLOTHIAN","Female","65 to 74","Good Health","Higher professional occupations",3
"MIDLOTHIAN","Female","65 to 74","Fairly Good Health","Higher professional occupations",1
"MIDLOTHIAN","Female","65 to 74","Not Good Health","Higher professional occupations",0
"MORAY","Male","16 to 24","Good Health","Higher professional occupations",46
"MORAY","Male","16 to 24","Fairly Good Health","Higher professional occupations",3
"MORAY","Male","16 to 24","Not Good Health","Higher professional occupations",1
"MORAY","Male","25 to 34","Good Health","Higher professional occupations",275
"MORAY","Male","25 to 34","Fairly Good Health","Higher professional occupations",29
"MORAY","Male","25 to 34","Not Good Health","Higher professional occupations",2
"MORAY","Male","35 to 49","Good Health","Higher professional occupations",462
"MORAY","Male","35 to 49","Fairly Good Health","Higher professional occupations",51
"MORAY","Male","35 to 49","Not Good Health","Higher professional occupations",14
"MORAY","Male","50 to 54","Good Health","Higher professional occupations",132
"MORAY","Male","50 to 54","Fairly Good Health","Higher professional occupations",27
"MORAY","Male","50 to 54","Not Good Health","Higher professional occupations",12
"MORAY","Male","55 to 59","Good Health","Higher professional occupations",88
"MORAY","Male","55 to 59","Fairly Good Health","Higher professional occupations",19
"MORAY","Male","55 to 59","Not Good Health","Higher professional occupations",8
"MORAY","Male","60 to 64","Good Health","Higher professional occupations",65
"MORAY","Male","60 to 64","Fairly Good Health","Higher professional occupations",18
"MORAY","Male","60 to 64","Not Good Health","Higher professional occupations",10
"MORAY","Male","65 to 74","Good Health","Higher professional occupations",11
"MORAY","Male","65 to 74","Fairly Good Health","Higher professional occupations",9
"MORAY","Male","65 to 74","Not Good Health","Higher professional occupations",1
"MORAY","Female","16 to 24","Good Health","Higher professional occupations",17
"MORAY","Female","16 to 24","Fairly Good Health","Higher professional occupations",0
"MORAY","Female","16 to 24","Not Good Health","Higher professional occupations",1
"MORAY","Female","25 to 34","Good Health","Higher professional occupations",112
"MORAY","Female","25 to 34","Fairly Good Health","Higher professional occupations",16
"MORAY","Female","25 to 34","Not Good Health","Higher professional occupations",3
"MORAY","Female","35 to 49","Good Health","Higher professional occupations",164
"MORAY","Female","35 to 49","Fairly Good Health","Higher professional occupations",25
"MORAY","Female","35 to 49","Not Good Health","Higher professional occupations",4
"MORAY","Female","50 to 54","Good Health","Higher professional occupations",24
"MORAY","Female","50 to 54","Fairly Good Health","Higher professional occupations",6
"MORAY","Female","50 to 54","Not Good Health","Higher professional occupations",3
"MORAY","Female","55 to 59","Good Health","Higher professional occupations",21
"MORAY","Female","55 to 59","Fairly Good Health","Higher professional occupations",4
"MORAY","Female","55 to 59","Not Good Health","Higher professional occupations",0
"MORAY","Female","60 to 64","Good Health","Higher professional occupations",15
"MORAY","Female","60 to 64","Fairly Good Health","Higher professional occupations",3
"MORAY","Female","60 to 64","Not Good Health","Higher professional occupations",0
"MORAY","Female","65 to 74","Good Health","Higher professional occupations",5
"MORAY","Female","65 to 74","Fairly Good Health","Higher professional occupations",3
"MORAY","Female","65 to 74","Not Good Health","Higher professional occupations",0
"NORTH AYRSHIRE","Male","16 to 24","Good Health","Higher professional occupations",147
"NORTH AYRSHIRE","Male","16 to 24","Fairly Good Health","Higher professional occupations",19
"NORTH AYRSHIRE","Male","16 to 24","Not Good Health","Higher professional occupations",0
"NORTH AYRSHIRE","Male","25 to 34","Good Health","Higher professional occupations",407
"NORTH AYRSHIRE","Male","25 to 34","Fairly Good Health","Higher professional occupations",35
"NORTH AYRSHIRE","Male","25 to 34","Not Good Health","Higher professional occupations",7
"NORTH AYRSHIRE","Male","35 to 49","Good Health","Higher professional occupations",669
"NORTH AYRSHIRE","Male","35 to 49","Fairly Good Health","Higher professional occupations",98
"NORTH AYRSHIRE","Male","35 to 49","Not Good Health","Higher professional occupations",24
"NORTH AYRSHIRE","Male","50 to 54","Good Health","Higher professional occupations",231
"NORTH AYRSHIRE","Male","50 to 54","Fairly Good Health","Higher professional occupations",32
"NORTH AYRSHIRE","Male","50 to 54","Not Good Health","Higher professional occupations",9
"NORTH AYRSHIRE","Male","55 to 59","Good Health","Higher professional occupations",155
"NORTH AYRSHIRE","Male","55 to 59","Fairly Good Health","Higher professional occupations",36
"NORTH AYRSHIRE","Male","55 to 59","Not Good Health","Higher professional occupations",18
"NORTH AYRSHIRE","Male","60 to 64","Good Health","Higher professional occupations",98
"NORTH AYRSHIRE","Male","60 to 64","Fairly Good Health","Higher professional occupations",34
"NORTH AYRSHIRE","Male","60 to 64","Not Good Health","Higher professional occupations",14
"NORTH AYRSHIRE","Male","65 to 74","Good Health","Higher professional occupations",24
"NORTH AYRSHIRE","Male","65 to 74","Fairly Good Health","Higher professional occupations",8
"NORTH AYRSHIRE","Male","65 to 74","Not Good Health","Higher professional occupations",1
"NORTH AYRSHIRE","Female","16 to 24","Good Health","Higher professional occupations",54
"NORTH AYRSHIRE","Female","16 to 24","Fairly Good Health","Higher professional occupations",4
"NORTH AYRSHIRE","Female","16 to 24","Not Good Health","Higher professional occupations",0
"NORTH AYRSHIRE","Female","25 to 34","Good Health","Higher professional occupations",171
"NORTH AYRSHIRE","Female","25 to 34","Fairly Good Health","Higher professional occupations",21
"NORTH AYRSHIRE","Female","25 to 34","Not Good Health","Higher professional occupations",6
"NORTH AYRSHIRE","Female","35 to 49","Good Health","Higher professional occupations",201
"NORTH AYRSHIRE","Female","35 to 49","Fairly Good Health","Higher professional occupations",35
"NORTH AYRSHIRE","Female","35 to 49","Not Good Health","Higher professional occupations",6
"NORTH AYRSHIRE","Female","50 to 54","Good Health","Higher professional occupations",52
"NORTH AYRSHIRE","Female","50 to 54","Fairly Good Health","Higher professional occupations",8
"NORTH AYRSHIRE","Female","50 to 54","Not Good Health","Higher professional occupations",3
"NORTH AYRSHIRE","Female","55 to 59","Good Health","Higher professional occupations",35
"NORTH AYRSHIRE","Female","55 to 59","Fairly Good Health","Higher professional occupations",5
"NORTH AYRSHIRE","Female","55 to 59","Not Good Health","Higher professional occupations",4
"NORTH AYRSHIRE","Female","60 to 64","Good Health","Higher professional occupations",20
"NORTH AYRSHIRE","Female","60 to 64","Fairly Good Health","Higher professional occupations",2
"NORTH AYRSHIRE","Female","60 to 64","Not Good Health","Higher professional occupations",0
"NORTH AYRSHIRE","Female","65 to 74","Good Health","Higher professional occupations",8
"NORTH AYRSHIRE","Female","65 to 74","Fairly Good Health","Higher professional occupations",0
"NORTH AYRSHIRE","Female","65 to 74","Not Good Health","Higher professional occupations",0
"NORTH LANARKSHIRE","Male","16 to 24","Good Health","Higher professional occupations",318
"NORTH LANARKSHIRE","Male","16 to 24","Fairly Good Health","Higher professional occupations",16
"NORTH LANARKSHIRE","Male","16 to 24","Not Good Health","Higher professional occupations",5
"NORTH LANARKSHIRE","Male","25 to 34","Good Health","Higher professional occupations",1106
"NORTH LANARKSHIRE","Male","25 to 34","Fairly Good Health","Higher professional occupations",116
"NORTH LANARKSHIRE","Male","25 to 34","Not Good Health","Higher professional occupations",28
"NORTH LANARKSHIRE","Male","35 to 49","Good Health","Higher professional occupations",1190
"NORTH LANARKSHIRE","Male","35 to 49","Fairly Good Health","Higher professional occupations",224
"NORTH LANARKSHIRE","Male","35 to 49","Not Good Health","Higher professional occupations",46
"NORTH LANARKSHIRE","Male","50 to 54","Good Health","Higher professional occupations",307
"NORTH LANARKSHIRE","Male","50 to 54","Fairly Good Health","Higher professional occupations",72
"NORTH LANARKSHIRE","Male","50 to 54","Not Good Health","Higher professional occupations",36
"NORTH LANARKSHIRE","Male","55 to 59","Good Health","Higher professional occupations",162
"NORTH LANARKSHIRE","Male","55 to 59","Fairly Good Health","Higher professional occupations",51
"NORTH LANARKSHIRE","Male","55 to 59","Not Good Health","Higher professional occupations",21
"NORTH LANARKSHIRE","Male","60 to 64","Good Health","Higher professional occupations",145
"NORTH LANARKSHIRE","Male","60 to 64","Fairly Good Health","Higher professional occupations",62
"NORTH LANARKSHIRE","Male","60 to 64","Not Good Health","Higher professional occupations",13
"NORTH LANARKSHIRE","Male","65 to 74","Good Health","Higher professional occupations",31
"NORTH LANARKSHIRE","Male","65 to 74","Fairly Good Health","Higher professional occupations",23
"NORTH LANARKSHIRE","Male","65 to 74","Not Good Health","Higher professional occupations",3
"NORTH LANARKSHIRE","Female","16 to 24","Good Health","Higher professional occupations",197
"NORTH LANARKSHIRE","Female","16 to 24","Fairly Good Health","Higher professional occupations",26
"NORTH LANARKSHIRE","Female","16 to 24","Not Good Health","Higher professional occupations",1
"NORTH LANARKSHIRE","Female","25 to 34","Good Health","Higher professional occupations",657
"NORTH LANARKSHIRE","Female","25 to 34","Fairly Good Health","Higher professional occupations",81
"NORTH LANARKSHIRE","Female","25 to 34","Not Good Health","Higher professional occupations",24
"NORTH LANARKSHIRE","Female","35 to 49","Good Health","Higher professional occupations",544
"NORTH LANARKSHIRE","Female","35 to 49","Fairly Good Health","Higher professional occupations",126
"NORTH LANARKSHIRE","Female","35 to 49","Not Good Health","Higher professional occupations",28
"NORTH LANARKSHIRE","Female","50 to 54","Good Health","Higher professional occupations",72
"NORTH LANARKSHIRE","Female","50 to 54","Fairly Good Health","Higher professional occupations",21
"NORTH LANARKSHIRE","Female","50 to 54","Not Good Health","Higher professional occupations",9
"NORTH LANARKSHIRE","Female","55 to 59","Good Health","Higher professional occupations",38
"NORTH LANARKSHIRE","Female","55 to 59","Fairly Good Health","Higher professional occupations",17
"NORTH LANARKSHIRE","Female","55 to 59","Not Good Health","Higher professional occupations",4
"NORTH LANARKSHIRE","Female","60 to 64","Good Health","Higher professional occupations",18
"NORTH LANARKSHIRE","Female","60 to 64","Fairly Good Health","Higher professional occupations",8
"NORTH LANARKSHIRE","Female","60 to 64","Not Good Health","Higher professional occupations",4
"NORTH LANARKSHIRE","Female","65 to 74","Good Health","Higher professional occupations",3
"NORTH LANARKSHIRE","Female","65 to 74","Fairly Good Health","Higher professional occupations",2
"NORTH LANARKSHIRE","Female","65 to 74","Not Good Health","Higher professional occupations",1
"ORKNEY ISLANDS","Male","16 to 24","Good Health","Higher professional occupations",4
"ORKNEY ISLANDS","Male","16 to 24","Fairly Good Health","Higher professional occupations",0
"ORKNEY ISLANDS","Male","16 to 24","Not Good Health","Higher professional occupations",0
"ORKNEY ISLANDS","Male","25 to 34","Good Health","Higher professional occupations",51
"ORKNEY ISLANDS","Male","25 to 34","Fairly Good Health","Higher professional occupations",6
"ORKNEY ISLANDS","Male","25 to 34","Not Good Health","Higher professional occupations",1
"ORKNEY ISLANDS","Male","35 to 49","Good Health","Higher professional occupations",91
"ORKNEY ISLANDS","Male","35 to 49","Fairly Good Health","Higher professional occupations",10
"ORKNEY ISLANDS","Male","35 to 49","Not Good Health","Higher professional occupations",1
"ORKNEY ISLANDS","Male","50 to 54","Good Health","Higher professional occupations",34
"ORKNEY ISLANDS","Male","50 to 54","Fairly Good Health","Higher professional occupations",5
"ORKNEY ISLANDS","Male","50 to 54","Not Good Health","Higher professional occupations",2
"ORKNEY ISLANDS","Male","55 to 59","Good Health","Higher professional occupations",25
"ORKNEY ISLANDS","Male","55 to 59","Fairly Good Health","Higher professional occupations",5
"ORKNEY ISLANDS","Male","55 to 59","Not Good Health","Higher professional occupations",1
"ORKNEY ISLANDS","Male","60 to 64","Good Health","Higher professional occupations",20
"ORKNEY ISLANDS","Male","60 to 64","Fairly Good Health","Higher professional occupations",7
"ORKNEY ISLANDS","Male","60 to 64","Not Good Health","Higher professional occupations",2
"ORKNEY ISLANDS","Male","65 to 74","Good Health","Higher professional occupations",7
"ORKNEY ISLANDS","Male","65 to 74","Fairly Good Health","Higher professional occupations",5
"ORKNEY ISLANDS","Male","65 to 74","Not Good Health","Higher professional occupations",0
"ORKNEY ISLANDS","Female","16 to 24","Good Health","Higher professional occupations",4
"ORKNEY ISLANDS","Female","16 to 24","Fairly Good Health","Higher professional occupations",0
"ORKNEY ISLANDS","Female","16 to 24","Not Good Health","Higher professional occupations",0
"ORKNEY ISLANDS","Female","25 to 34","Good Health","Higher professional occupations",33
"ORKNEY ISLANDS","Female","25 to 34","Fairly Good Health","Higher professional occupations",4
"ORKNEY ISLANDS","Female","25 to 34","Not Good Health","Higher professional occupations",0
"ORKNEY ISLANDS","Female","35 to 49","Good Health","Higher professional occupations",46
"ORKNEY ISLANDS","Female","35 to 49","Fairly Good Health","Higher professional occupations",7
"ORKNEY ISLANDS","Female","35 to 49","Not Good Health","Higher professional occupations",5
"ORKNEY ISLANDS","Female","50 to 54","Good Health","Higher professional occupations",9
"ORKNEY ISLANDS","Female","50 to 54","Fairly Good Health","Higher professional occupations",1
"ORKNEY ISLANDS","Female","50 to 54","Not Good Health","Higher professional occupations",0
"ORKNEY ISLANDS","Female","55 to 59","Good Health","Higher professional occupations",5
"ORKNEY ISLANDS","Female","55 to 59","Fairly Good Health","Higher professional occupations",4
"ORKNEY ISLANDS","Female","55 to 59","Not Good Health","Higher professional occupations",0
"ORKNEY ISLANDS","Female","60 to 64","Good Health","Higher professional occupations",5
"ORKNEY ISLANDS","Female","60 to 64","Fairly Good Health","Higher professional occupations",2
"ORKNEY ISLANDS","Female","60 to 64","Not Good Health","Higher professional occupations",0
"ORKNEY ISLANDS","Female","65 to 74","Good Health","Higher professional occupations",1
"ORKNEY ISLANDS","Female","65 to 74","Fairly Good Health","Higher professional occupations",0
"ORKNEY ISLANDS","Female","65 to 74","Not Good Health","Higher professional occupations",0
"PERTH & KINROSS","Male","16 to 24","Good Health","Higher professional occupations",84
"PERTH & KINROSS","Male","16 to 24","Fairly Good Health","Higher professional occupations",8
"PERTH & KINROSS","Male","16 to 24","Not Good Health","Higher professional occupations",4
"PERTH & KINROSS","Male","25 to 34","Good Health","Higher professional occupations",525
"PERTH & KINROSS","Male","25 to 34","Fairly Good Health","Higher professional occupations",46
"PERTH & KINROSS","Male","25 to 34","Not Good Health","Higher professional occupations",9
"PERTH & KINROSS","Male","35 to 49","Good Health","Higher professional occupations",1160
"PERTH & KINROSS","Male","35 to 49","Fairly Good Health","Higher professional occupations",143
"PERTH & KINROSS","Male","35 to 49","Not Good Health","Higher professional occupations",28
"PERTH & KINROSS","Male","50 to 54","Good Health","Higher professional occupations",385
"PERTH & KINROSS","Male","50 to 54","Fairly Good Health","Higher professional occupations",56
"PERTH & KINROSS","Male","50 to 54","Not Good Health","Higher professional occupations",21
"PERTH & KINROSS","Male","55 to 59","Good Health","Higher professional occupations",254
"PERTH & KINROSS","Male","55 to 59","Fairly Good Health","Higher professional occupations",62
"PERTH & KINROSS","Male","55 to 59","Not Good Health","Higher professional occupations",24
"PERTH & KINROSS","Male","60 to 64","Good Health","Higher professional occupations",192
"PERTH & KINROSS","Male","60 to 64","Fairly Good Health","Higher professional occupations",46
"PERTH & KINROSS","Male","60 to 64","Not Good Health","Higher professional occupations",13
"PERTH & KINROSS","Male","65 to 74","Good Health","Higher professional occupations",56
"PERTH & KINROSS","Male","65 to 74","Fairly Good Health","Higher professional occupations",24
"PERTH & KINROSS","Male","65 to 74","Not Good Health","Higher professional occupations",2
"PERTH & KINROSS","Female","16 to 24","Good Health","Higher professional occupations",54
"PERTH & KINROSS","Female","16 to 24","Fairly Good Health","Higher professional occupations",3
"PERTH & KINROSS","Female","16 to 24","Not Good Health","Higher professional occupations",0
"PERTH & KINROSS","Female","25 to 34","Good Health","Higher professional occupations",394
"PERTH & KINROSS","Female","25 to 34","Fairly Good Health","Higher professional occupations",45
"PERTH & KINROSS","Female","25 to 34","Not Good Health","Higher professional occupations",7
"PERTH & KINROSS","Female","35 to 49","Good Health","Higher professional occupations",541
"PERTH & KINROSS","Female","35 to 49","Fairly Good Health","Higher professional occupations",113
"PERTH & KINROSS","Female","35 to 49","Not Good Health","Higher professional occupations",21
"PERTH & KINROSS","Female","50 to 54","Good Health","Higher professional occupations",115
"PERTH & KINROSS","Female","50 to 54","Fairly Good Health","Higher professional occupations",18
"PERTH & KINROSS","Female","50 to 54","Not Good Health","Higher professional occupations",4
"PERTH & KINROSS","Female","55 to 59","Good Health","Higher professional occupations",75
"PERTH & KINROSS","Female","55 to 59","Fairly Good Health","Higher professional occupations",12
"PERTH & KINROSS","Female","55 to 59","Not Good Health","Higher professional occupations",5
"PERTH & KINROSS","Female","60 to 64","Good Health","Higher professional occupations",31
"PERTH & KINROSS","Female","60 to 64","Fairly Good Health","Higher professional occupations",9
"PERTH & KINROSS","Female","60 to 64","Not Good Health","Higher professional occupations",2
"PERTH & KINROSS","Female","65 to 74","Good Health","Higher professional occupations",12
"PERTH & KINROSS","Female","65 to 74","Fairly Good Health","Higher professional occupations",2
"PERTH & KINROSS","Female","65 to 74","Not Good Health","Higher professional occupations",0
"RENFREWSHIRE","Male","16 to 24","Good Health","Higher professional occupations",197
"RENFREWSHIRE","Male","16 to 24","Fairly Good Health","Higher professional occupations",12
"RENFREWSHIRE","Male","16 to 24","Not Good Health","Higher professional occupations",3
"RENFREWSHIRE","Male","25 to 34","Good Health","Higher professional occupations",793
"RENFREWSHIRE","Male","25 to 34","Fairly Good Health","Higher professional occupations",74
"RENFREWSHIRE","Male","25 to 34","Not Good Health","Higher professional occupations",14
"RENFREWSHIRE","Male","35 to 49","Good Health","Higher professional occupations",1209
"RENFREWSHIRE","Male","35 to 49","Fairly Good Health","Higher professional occupations",181
"RENFREWSHIRE","Male","35 to 49","Not Good Health","Higher professional occupations",46
"RENFREWSHIRE","Male","50 to 54","Good Health","Higher professional occupations",310
"RENFREWSHIRE","Male","50 to 54","Fairly Good Health","Higher professional occupations",66
"RENFREWSHIRE","Male","50 to 54","Not Good Health","Higher professional occupations",22
"RENFREWSHIRE","Male","55 to 59","Good Health","Higher professional occupations",195
"RENFREWSHIRE","Male","55 to 59","Fairly Good Health","Higher professional occupations",50
"RENFREWSHIRE","Male","55 to 59","Not Good Health","Higher professional occupations",26
"RENFREWSHIRE","Male","60 to 64","Good Health","Higher professional occupations",129
"RENFREWSHIRE","Male","60 to 64","Fairly Good Health","Higher professional occupations",47
"RENFREWSHIRE","Male","60 to 64","Not Good Health","Higher professional occupations",17
"RENFREWSHIRE","Male","65 to 74","Good Health","Higher professional occupations",38
"RENFREWSHIRE","Male","65 to 74","Fairly Good Health","Higher professional occupations",13
"RENFREWSHIRE","Male","65 to 74","Not Good Health","Higher professional occupations",2
"RENFREWSHIRE","Female","16 to 24","Good Health","Higher professional occupations",104
"RENFREWSHIRE","Female","16 to 24","Fairly Good Health","Higher professional occupations",13
"RENFREWSHIRE","Female","16 to 24","Not Good Health","Higher professional occupations",3
"RENFREWSHIRE","Female","25 to 34","Good Health","Higher professional occupations",493
"RENFREWSHIRE","Female","25 to 34","Fairly Good Health","Higher professional occupations",73
"RENFREWSHIRE","Female","25 to 34","Not Good Health","Higher professional occupations",9
"RENFREWSHIRE","Female","35 to 49","Good Health","Higher professional occupations",509
"RENFREWSHIRE","Female","35 to 49","Fairly Good Health","Higher professional occupations",109
"RENFREWSHIRE","Female","35 to 49","Not Good Health","Higher professional occupations",33
"RENFREWSHIRE","Female","50 to 54","Good Health","Higher professional occupations",103
"RENFREWSHIRE","Female","50 to 54","Fairly Good Health","Higher professional occupations",34
"RENFREWSHIRE","Female","50 to 54","Not Good Health","Higher professional occupations",11
"RENFREWSHIRE","Female","55 to 59","Good Health","Higher professional occupations",55
"RENFREWSHIRE","Female","55 to 59","Fairly Good Health","Higher professional occupations",17
"RENFREWSHIRE","Female","55 to 59","Not Good Health","Higher professional occupations",3
"RENFREWSHIRE","Female","60 to 64","Good Health","Higher professional occupations",16
"RENFREWSHIRE","Female","60 to 64","Fairly Good Health","Higher professional occupations",6
"RENFREWSHIRE","Female","60 to 64","Not Good Health","Higher professional occupations",1
"RENFREWSHIRE","Female","65 to 74","Good Health","Higher professional occupations",5
"RENFREWSHIRE","Female","65 to 74","Fairly Good Health","Higher professional occupations",0
"RENFREWSHIRE","Female","65 to 74","Not Good Health","Higher professional occupations",0
"SCOTTISH BORDERS","Male","16 to 24","Good Health","Higher professional occupations",62
"SCOTTISH BORDERS","Male","16 to 24","Fairly Good Health","Higher professional occupations",5
"SCOTTISH BORDERS","Male","16 to 24","Not Good Health","Higher professional occupations",2
"SCOTTISH BORDERS","Male","25 to 34","Good Health","Higher professional occupations",278
"SCOTTISH BORDERS","Male","25 to 34","Fairly Good Health","Higher professional occupations",24
"SCOTTISH BORDERS","Male","25 to 34","Not Good Health","Higher professional occupations",5
"SCOTTISH BORDERS","Male","35 to 49","Good Health","Higher professional occupations",695
"SCOTTISH BORDERS","Male","35 to 49","Fairly Good Health","Higher professional occupations",93
"SCOTTISH BORDERS","Male","35 to 49","Not Good Health","Higher professional occupations",16
"SCOTTISH BORDERS","Male","50 to 54","Good Health","Higher professional occupations",209
"SCOTTISH BORDERS","Male","50 to 54","Fairly Good Health","Higher professional occupations",41
"SCOTTISH BORDERS","Male","50 to 54","Not Good Health","Higher professional occupations",10
"SCOTTISH BORDERS","Male","55 to 59","Good Health","Higher professional occupations",179
"SCOTTISH BORDERS","Male","55 to 59","Fairly Good Health","Higher professional occupations",51
"SCOTTISH BORDERS","Male","55 to 59","Not Good Health","Higher professional occupations",10
"SCOTTISH BORDERS","Male","60 to 64","Good Health","Higher professional occupations",123
"SCOTTISH BORDERS","Male","60 to 64","Fairly Good Health","Higher professional occupations",29
"SCOTTISH BORDERS","Male","60 to 64","Not Good Health","Higher professional occupations",8
"SCOTTISH BORDERS","Male","65 to 74","Good Health","Higher professional occupations",45
"SCOTTISH BORDERS","Male","65 to 74","Fairly Good Health","Higher professional occupations",12
"SCOTTISH BORDERS","Male","65 to 74","Not Good Health","Higher professional occupations",0
"SCOTTISH BORDERS","Female","16 to 24","Good Health","Higher professional occupations",29
"SCOTTISH BORDERS","Female","16 to 24","Fairly Good Health","Higher professional occupations",2
"SCOTTISH BORDERS","Female","16 to 24","Not Good Health","Higher professional occupations",1
"SCOTTISH BORDERS","Female","25 to 34","Good Health","Higher professional occupations",200
"SCOTTISH BORDERS","Female","25 to 34","Fairly Good Health","Higher professional occupations",34
"SCOTTISH BORDERS","Female","25 to 34","Not Good Health","Higher professional occupations",5
"SCOTTISH BORDERS","Female","35 to 49","Good Health","Higher professional occupations",321
"SCOTTISH BORDERS","Female","35 to 49","Fairly Good Health","Higher professional occupations",52
"SCOTTISH BORDERS","Female","35 to 49","Not Good Health","Higher professional occupations",5
"SCOTTISH BORDERS","Female","50 to 54","Good Health","Higher professional occupations",62
"SCOTTISH BORDERS","Female","50 to 54","Fairly Good Health","Higher professional occupations",14
"SCOTTISH BORDERS","Female","50 to 54","Not Good Health","Higher professional occupations",5
"SCOTTISH BORDERS","Female","55 to 59","Good Health","Higher professional occupations",31
"SCOTTISH BORDERS","Female","55 to 59","Fairly Good Health","Higher professional occupations",11
"SCOTTISH BORDERS","Female","55 to 59","Not Good Health","Higher professional occupations",1
"SCOTTISH BORDERS","Female","60 to 64","Good Health","Higher professional occupations",34
"SCOTTISH BORDERS","Female","60 to 64","Fairly Good Health","Higher professional occupations",4
"SCOTTISH BORDERS","Female","60 to 64","Not Good Health","Higher professional occupations",0
"SCOTTISH BORDERS","Female","65 to 74","Good Health","Higher professional occupations",4
"SCOTTISH BORDERS","Female","65 to 74","Fairly Good Health","Higher professional occupations",1
"SCOTTISH BORDERS","Female","65 to 74","Not Good Health","Higher professional occupations",0
"SHETLAND ISLANDS","Male","16 to 24","Good Health","Higher professional occupations",16
"SHETLAND ISLANDS","Male","16 to 24","Fairly Good Health","Higher professional occupations",2
"SHETLAND ISLANDS","Male","16 to 24","Not Good Health","Higher professional occupations",1
"SHETLAND ISLANDS","Male","25 to 34","Good Health","Higher professional occupations",58
"SHETLAND ISLANDS","Male","25 to 34","Fairly Good Health","Higher professional occupations",8
"SHETLAND ISLANDS","Male","25 to 34","Not Good Health","Higher professional occupations",0
"SHETLAND ISLANDS","Male","35 to 49","Good Health","Higher professional occupations",143
"SHETLAND ISLANDS","Male","35 to 49","Fairly Good Health","Higher professional occupations",28
"SHETLAND ISLANDS","Male","35 to 49","Not Good Health","Higher professional occupations",4
"SHETLAND ISLANDS","Male","50 to 54","Good Health","Higher professional occupations",30
"SHETLAND ISLANDS","Male","50 to 54","Fairly Good Health","Higher professional occupations",3
"SHETLAND ISLANDS","Male","50 to 54","Not Good Health","Higher professional occupations",0
"SHETLAND ISLANDS","Male","55 to 59","Good Health","Higher professional occupations",15
"SHETLAND ISLANDS","Male","55 to 59","Fairly Good Health","Higher professional occupations",5
"SHETLAND ISLANDS","Male","55 to 59","Not Good Health","Higher professional occupations",1
"SHETLAND ISLANDS","Male","60 to 64","Good Health","Higher professional occupations",14
"SHETLAND ISLANDS","Male","60 to 64","Fairly Good Health","Higher professional occupations",6
"SHETLAND ISLANDS","Male","60 to 64","Not Good Health","Higher professional occupations",2
"SHETLAND ISLANDS","Male","65 to 74","Good Health","Higher professional occupations",5
